Mã hàng	ĐVT	Tên hàng
441954	Cái	CONTROL ELECTRONICS MODULE MGIT960 SPARE
441959	Cái	TEST TOOL GAUS METER EXT VPRLT SPARE
441980	Gói	USERS MANUAL FX40 PACKAGED
441992	Hộp	Tube Fox Extraction PCR
441993	Hộp	Control Set for the BD Onclarity HPV Assy
442017	Chai	BACTEC Mycosis IC/F Culture Vials (Plastic)
442020	Chai	BACTEC Peds Plus/F Culture Vials
442021	Chai	BACTEC Lytic/10 Anaerobic/F Culture Vials
442023	Chai	BACTEC Plus Aerobic/F Culture Vials (Chai cấy máu hiếu khí người lớn)
442288	Chai	BACTEC Myco/F Lytic Culture Vials (40 mL)
442296	Cái	BACTEC FX40 INSTRUMENT
442299	Hộp	Install Kit Bactec FX 40 Instrument
442555	Hộp	Kit BD Max Cdiff EU
442794	Chai	Bactec Plastic Myco/F Lytic Medium
442818	Hộp	Kit BD Max ExK DNA-1 EU LUO
442819	Hộp	Kit BD Max ExK DNA-2 USA
442821	Hộp	Kit BD Max ExK DNA-3 USA
442827	Hộp	Kit BD Max ExK TNA-3
442840	Hộp	Onclarity HPV Liquid Based Cytology Specimen (LBC) Diluent Tubes
442841	Máng	Viper PCR Extraction Reagent Trough with Piercing Tool
442946	Hộp	Onclarity HPV Assay Reagent Pack
442960	Hộp	Kit BD Max Enteric Parasite Panel
442963	Hộp	Kit BD Max Enteric Bacterial Panel
442967	Bộ	Kit Accessory PCR Viper LT
442968	Hộp	Waste Bag
443032	Hộp	FLOWMETER 40 TO 600 CCM FEA SPARE
443047	Hộp	DENSITY REAGENT PUMP FEA SPARE
443051	Hộp	ELEVATOR INTERCONNECT BOARD FEA SPARE
443066	Cái	PBA CPU AVALUE BCM QM57 FEA SPARE
443067	Cái	PINCH VALVE DR LOOP HARNESS FEA SPARE
443083	Cái	USB HUB CIRCUIT BOARD FEA SPARE
443113	Cái	CABLE ULTRASONIC SENSOR FEA SPARE
443138	Hộp	CENTRIFUGE CENTER TEACH TOOL FEA SPARE
443139	Hộp	PROCESS DECK TEACH TOOL FEA SPARE
443161	Cái	PCA USB AND COM HUB VPRLT SPARE
443189	Cái	Bộ nguồn 300W
443190	Cái	Bộ nguồn đầu cuối 48VDC
443191	Hộp	MOTOR X-AXIS AND Z-AXIS FEA SPARE
443196	Cái	Pipette Head 1ml HAM VPRLT Spare
443197	Cái	PIPETTE CHANNEL A ASSY HAM VPRLT SPARE
443208	Cái	Cảm biến vị trí
443217	Cái	Board giao diện
443219	Cái	Bộ nguồn 42v 600W
443224	Cái	PROG PCB ASSY DOOR LOCK HAM VPRLT SPARE
443253	Cái	Đai truyền chuyển động trục Z
443255	Gói	SET OF 8 1ML O RING HAM VPRLT SPARE
443257	Cái	Motor/ Động cơ ép
443262	Cái	GREASE AND OIL KIT HAMILTON VPRLT SPARE
443263	Cái	GRIPPER FEA SPARE
443375	Cái	PROBE ALIGNMENT TOOL FEA SPARE
443384	Bộ	Cảm biến chốt cửa máy FX40
443386	Hộp	BLOWER CROSSFLOW ASSY FX40 SPARE
443503	Cái	Bộ nguồn
443569	Cái	FILTER PANEL GEN 4 PHX50 SPARE
443624	Cái	BD Phoenix M50
443625	Bộ	Phoenix M50 Starer Kit
443682	Cái	XY CONTROLLER ASSY WIN MAX6 SPARE
443684	Cái	Bo mạch điều khiển bộ phận chiết tách mẫu PCB 2X MTR CNTRL MAG DRV WIN MAX6 SPARE
443687	Cái	BENDER BOARD WIN MAX6 SPARE
443688	Cái	HEATER MUX ASSY WIN MAX6 SPARE
443691	Cái	Bo mạch điều khiển đầu đọc B - PCB 2X MTR CNTRL RDR RT WIN MAX6 SPARE
443693	Cái	PCB ASSEMBLY MUX WIN VER MAX6 SPARE
443694	Cái	LIFTING HANDLES SET OF 4 SPARE
443704	Hộp	ENCODER CENTRIFUGE HETTICH SPARE
443709	Cái	KIT PMI VIPER LT
443747	Gói	Key Card for the BD Viper LT System
443806	Hộp	BD MAX STR
443812	Hộp	Kit BD Max ETX Enteric Bacterial Panel
443831	Cái	SERVO MOTOR ASSEMBLY PHX50 SPARE
443843	Cái	POWER ENTRY PANEL ASSEMBLY PHX50 SPARE
443845	Cái	Máy đọc mã vạch
443846	Cái	Bộ điều khiển và chia nguồn máy Phoenix M50
443848	Bộ	Light Source Board Kit PHX50 Spare Bộ điều khiển nguồn sáng cho máy Phoenix M50
443850	Bộ	TIER MICRO BOARD KIT PHX500 SPARE Bộ  tier máy Phoenix M50
443853	Bộ	INCUBATION ASSEMBLY PHX50 SPARE
443855	Cái	Dây curoa
443856	Bộ	Bộ mô tơ và dây máy Phoenix M50
443859	Cái	KIT TOOLS FIELD PHX50
443878	Hộp	Kit BD MAX MDR-TB
443910	Bộ	Bộ phụ kiện giá đỡ lắp máy PHX50
444004	Hộp	SPRING TORSION MODIFIED FEA SPARE
444042	Cái	Direct to Slide 1 Slide Holder
444048	Hộp	BD MAX Qualification Kit
444510	Cái	Mạch phân phối công suất
444513	Cái	Motor trục Y
444531	Bộ	Rack máy FX, code cũ: 441170
444568	Bộ	AC MOTOR MODI GEN2 MGIT 960 SPARE
444575	Gói	Windows 10 license Spare
444876	Cái	SHORTING PCB ASSY BFX SPARE (Set of 10)
444894	Cái	TRIPLE SUPPLY MODULE 960 SPARE
